start_base,end_base,runs_scored,outs,start_outs,end_outs,start_state,end_state,re_before,re_after,value,norm_value
"(1, 0, 1)","(0, 0, 1)",0,2,0,2,101_0,001_2,1.8052961494179354,0.3720836162436255,-1.4332125331743097,-0.7880892355312268
"(1, 0, 1)","(1, 0, 0)",1,1,0,1,101_0,100_1,1.8052961494179354,0.5365059395025369,-0.2687902099153985,-0.12492210342956422
"(1, 0, 1)","(1, 1, 0)",0,1,0,1,101_0,110_1,1.8052961494179354,0.9310801971130783,-0.874215952304857,-0.4697269437878707
"(1, 0, 1)","(0, 0, 1)",2,0,0,0,101_0,001_0,1.8052961494179354,1.4159075573549258,1.6106114079369904,0.9454433096021677
"(1, 0, 1)","(0, 0, 0)",1,2,0,2,101_0,000_2,1.8052961494179354,0.10514160279015194,-0.7001545466277834,-0.37059469519838495
"(1, 0, 1)","(0, 1, 1)",0,1,0,1,101_0,011_1,1.8052961494179354,1.4130642866382097,-0.39223186277972566,-0.19522515866712908
"(1, 0, 1)","(0, 1, 0)",2,0,0,0,101_0,010_0,1.8052961494179354,1.1446674094298273,1.3393712600118919,0.7909653788571709
"(1, 0, 1)","(1, 0, 0)",0,2,0,2,101_0,100_2,1.8052961494179354,0.23259963183813465,-1.5726965175798007,-0.8675287928676201
"(1, 0, 1)","(0, 0, 1)",1,1,0,1,101_0,001_1,1.8052961494179354,0.9719785520382295,0.1666824026202941,0.12309025239324711
"(1, 0, 1)","(1, 0, 0)",2,0,0,0,101_0,100_0,1.8052961494179354,0.8993376335659277,1.0940414841479922,0.6512440418224545
"(1, 0, 1)","(0, 0, 0)",2,1,0,1,101_0,000_1,1.8052961494179354,0.27356140384652405,0.4682652544285886,0.29484909875837073
"(1, 0, 1)","(0, 1, 0)",0,2,0,2,101_0,010_2,1.8052961494179354,0.33039304411579395,-1.4749031053021415,-0.8118330410229601
"(1, 0, 1)","(0, 0, 0)",0,3,0,3,101_0,000_3,1.8052961494179354,0.0,-1.8052961494179354,-1.0
"(1, 1, 0)","(1, 1, 0)",0,1,0,1,110_0,110_1,1.49641124219077,0.9310801971130783,-0.5653310450776917,-0.4697269437878707
"(1, 1, 0)","(0, 1, 0)",0,2,0,2,110_0,010_2,1.49641124219077,0.33039304411579395,-1.1660181980749762,-0.8118330410229601
"(1, 1, 0)","(1, 1, 1)",0,0,0,0,110_0,111_0,1.49641124219077,2.3188014033473285,0.8223901611565585,0.3206143903763312
"(1, 1, 0)","(0, 1, 1)",1,0,0,0,110_0,011_0,1.49641124219077,2.015205047318612,1.518793805127842,0.7172333817273708
"(1, 1, 0)","(1, 1, 0)",1,0,0,0,110_0,110_0,1.49641124219077,1.49641124219077,1.0,0.4217675588669474
"(1, 1, 0)","(1, 0, 1)",0,1,0,1,110_0,101_1,1.49641124219077,1.1892578655390464,-0.3071533766517236,-0.322688416165386
"(1, 1, 0)","(0, 0, 0)",3,0,0,0,110_0,000_0,1.49641124219077,0.511700948051228,2.015289705860458,1.0
"(1, 1, 0)","(0, 1, 1)",0,1,0,1,110_0,011_1,1.49641124219077,1.4130642866382097,-0.08334695555256033,-0.19522515866712908
"(1, 1, 0)","(1, 0, 1)",1,0,0,0,110_0,101_0,1.49641124219077,1.8052961494179354,1.3088849072271653,0.597685105261994
"(1, 1, 0)","(0, 1, 0)",2,0,0,0,110_0,010_0,1.49641124219077,1.1446674094298273,1.6482561672390572,0.7909653788571709
"(1, 1, 0)","(0, 0, 0)",2,1,0,1,110_0,000_1,1.49641124219077,0.27356140384652405,0.7771501616557539,0.29484909875837073
"(1, 1, 0)","(0, 0, 1)",0,2,0,2,110_0,001_2,1.49641124219077,0.3720836162436255,-1.1243276259471444,-0.7880892355312268
"(1, 1, 0)","(1, 0, 0)",1,1,0,1,110_0,100_1,1.49641124219077,0.5365059395025369,0.04009469731176685,-0.12492210342956422
"(1, 1, 0)","(0, 0, 1)",2,0,0,0,110_0,001_0,1.49641124219077,1.4159075573549258,1.9194963151641558,0.9454433096021677
"(1, 1, 0)","(0, 0, 1)",1,1,0,1,110_0,001_1,1.49641124219077,0.9719785520382295,0.47556730984745943,0.12309025239324711
"(1, 1, 0)","(1, 0, 0)",0,2,0,2,110_0,100_2,1.49641124219077,0.23259963183813465,-1.2638116103526353,-0.8675287928676201
"(1, 1, 0)","(0, 1, 0)",1,1,0,1,110_0,010_1,1.49641124219077,0.6970606098301637,0.20064936763939367,-0.03348227258820258
"(1, 1, 0)","(0, 0, 0)",1,2,0,2,110_0,000_2,1.49641124219077,0.10514160279015194,-0.3912696394006181,-0.37059469519838495
"(1, 1, 0)","(1, 0, 0)",2,0,0,0,110_0,100_0,1.49641124219077,0.8993376335659277,1.4029263913751575,0.6512440418224545
"(1, 1, 0)","(0, 0, 0)",0,3,0,3,110_0,000_3,1.49641124219077,0.0,-1.49641124219077,-1.0
"(1, 1, 1)","(1, 1, 0)",1,1,0,1,111_0,110_1,2.3188014033473285,0.9310801971130783,-0.3877212062342501,-0.1439679981683254
"(1, 1, 1)","(1, 1, 0)",2,0,0,0,111_0,110_0,2.3188014033473285,1.49641124219077,1.1776098388434415,0.5499304064915918
"(1, 1, 1)","(1, 1, 1)",0,1,0,1,111_0,111_1,2.3188014033473285,1.5853687768163187,-0.7334326265310098,-0.29721903332218924
"(1, 1, 1)","(1, 0, 1)",1,1,0,1,111_0,101_1,2.3188014033473285,1.1892578655390464,-0.1295435378082821,-0.029519956776094203
"(1, 1, 1)","(0, 1, 1)",0,2,0,2,111_0,011_2,2.3188014033473285,0.5857316399779128,-1.7330697633694157,-0.7403499714532665
"(1, 1, 1)","(1, 1, 1)",1,0,0,0,111_0,111_0,2.3188014033473285,2.3188014033473285,1.0,0.471197422684162
"(1, 1, 1)","(0, 1, 1)",1,1,0,1,111_0,011_1,2.3188014033473285,1.4130642866382097,0.09426288329088117,0.0696915927818762
"(1, 1, 1)","(0, 1, 1)",2,0,0,0,111_0,011_0,2.3188014033473285,2.015205047318612,1.6964036439712835,0.7799074422487726
"(1, 1, 1)","(0, 0, 0)",4,0,0,0,111_0,000_0,2.3188014033473285,0.511700948051228,2.1928995447038995,1.0
"(1, 1, 1)","(1, 0, 0)",2,1,0,1,111_0,100_1,2.3188014033473285,0.5365059395025369,0.21770453615520835,0.12441226433598107
"(1, 1, 1)","(1, 0, 0)",1,2,0,2,111_0,100_2,2.3188014033473285,0.23259963183813465,-1.0862017715091938,-0.45359869990029344
"(1, 1, 1)","(1, 0, 1)",2,0,0,0,111_0,101_0,2.3188014033473285,1.8052961494179354,1.4864947460706068,0.6868565506592739
"(1, 1, 1)","(1, 1, 0)",0,2,0,2,111_0,110_2,2.3188014033473285,0.4491917591125198,-1.8696096442348087,-0.8008769799751277
"(1, 1, 1)","(0, 1, 0)",2,1,0,1,111_0,010_1,2.3188014033473285,0.6970606098301637,0.3782592064828352,0.19558483192248133
"(1, 1, 1)","(0, 1, 0)",3,0,0,0,111_0,010_0,2.3188014033473285,1.1446674094298273,1.8258660060824987,0.8372970447964037
"(1, 1, 1)","(1, 0, 1)",0,2,0,2,111_0,101_2,2.3188014033473285,0.5078118268761308,-1.8109895764711976,-0.7748911850660343
"(1, 1, 1)","(0, 0, 1)",3,0,0,0,111_0,001_0,2.3188014033473285,1.4159075573549258,2.097106154007597,0.9575355761388931
"(1, 1, 1)","(0, 0, 1)",1,2,0,2,111_0,001_2,2.3188014033473285,0.3720836162436255,-0.9467177871037031,-0.39176659444315365
"(1, 1, 1)","(0, 0, 0)",3,1,0,1,111_0,000_1,2.3188014033473285,0.27356140384652405,0.9547600004991956,0.4511429022176203
"(1, 1, 1)","(0, 0, 1)",2,1,0,1,111_0,001_1,2.3188014033473285,0.9719785520382295,0.6531771486909008,0.3174536992847179
"(1, 1, 1)","(0, 0, 0)",0,3,0,3,111_0,000_3,2.3188014033473285,0.0,-2.3188014033473285,-1.0
"(1, 1, 1)","(0, 1, 0)",1,2,0,2,111_0,010_2,2.3188014033473285,0.33039304411579395,-0.9884083592315345,-0.4102476828875635
"(1, 1, 1)","(1, 0, 0)",3,0,0,0,111_0,100_0,2.3188014033473285,0.8993376335659277,1.5805362302185992,0.7285443687264765
"(1, 1, 1)","(0, 0, 0)",2,2,0,2,111_0,000_2,2.3188014033473285,0.10514160279015194,-0.21365980055717682,-0.06680800565939948
