start_base,end_base,runs_scored,outs,start_outs,end_outs,start_state,end_state,re_before,re_after,value,norm_value
"(1, 1, 0)","(1, 1, 0)",0,0,1,1,110_1,110_1,0.9310801971130783,0.9310801971130783,0.0,-0.18095003236962892
"(1, 1, 0)","(1, 0, 0)",1,0,1,1,110_1,100_1,0.9310801971130783,0.5365059395025369,0.6054257423894586,0.35162915494870717
"(1, 1, 1)","(0, 1, 1)",1,0,1,1,111_1,011_1,1.5853687768163187,1.4130642866382097,0.827695509821891,0.47427464400257957
"(1, 1, 1)","(1, 1, 0)",1,0,1,1,111_1,110_1,1.5853687768163187,0.9310801971130783,0.3457114202967596,0.17980386428310546
"(1, 1, 1)","(1, 1, 0)",0,1,1,2,111_1,110_2,1.5853687768163187,0.4491917591125198,-1.1361770177037989,-0.7255638714552859
"(1, 1, 1)","(0, 1, 1)",0,1,1,2,111_1,011_2,1.5853687768163187,0.5857316399779128,-0.9996371368384059,-0.642144094630599
"(1, 1, 1)","(1, 0, 0)",1,1,1,2,111_1,100_2,1.5853687768163187,0.23259963183813465,-0.352769144978184,-0.24693660525823868
"(1, 1, 1)","(1, 0, 1)",1,0,1,1,111_1,101_1,1.5853687768163187,1.1892578655390464,0.6038890887227277,0.33753890363358297
"(1, 1, 1)","(0, 1, 0)",1,1,1,2,111_1,010_2,1.5853687768163187,0.33039304411579395,-0.25497573270052465,-0.18718919244798904
"(1, 1, 1)","(0, 1, 0)",2,0,1,1,111_1,010_1,1.5853687768163187,0.6970606098301637,1.111691833013845,0.6477837297696898
"(1, 1, 1)","(1, 0, 1)",0,1,1,2,111_1,101_2,1.5853687768163187,0.5078118268761308,-1.0775569499401878,-0.68974962480958
"(1, 1, 1)","(1, 1, 1)",0,0,1,1,111_1,111_1,1.5853687768163187,1.5853687768163187,0.0,-0.0314103930028824
"(1, 1, 1)","(0, 0, 1)",2,0,1,1,111_1,001_1,1.5853687768163187,0.9719785520382295,1.3866097752219106,0.815746329698336
"(1, 1, 1)","(0, 0, 0)",3,0,1,1,111_1,000_1,1.5853687768163187,0.27356140384652405,1.6881926270302055,1.0
"(1, 1, 1)","(0, 0, 1)",1,1,1,2,111_1,001_2,1.5853687768163187,0.3720836162436255,-0.2132851605726933,-0.16171811249277945
"(1, 1, 1)","(1, 0, 0)",0,2,1,3,111_1,100_3,1.5853687768163187,0.0,-1.5853687768163187,-1.0
